Authors,Title,Year,Source title,Cited by,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords
"Favero I., Karrai K.","Optomechanics of deformable optical cavities",2009,"Nature Photonics",215,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-63849280693&doi=10.1038%2fnphoton.2009.42&partnerID=40&md5=aca14a5ae8733a34d3beaf08c26d3885","Laboratoire Matériaux et Phénomènes Quantiques, Université Paris-Diderot, CNRS, 10 rue Alice Domon et Léonie Duquet, 75013 Paris, France; CeNS, Ludwig-Maximilians Universität, Geschwister Scholl Platz 1, 80539 München, Germany; Attocube Systems AG, Königinstrasse11a, D-80539 München, Germany","Favero, I., Laboratoire Matériaux et Phénomènes Quantiques, Université Paris-Diderot, CNRS, 10 rue Alice Domon et Léonie Duquet, 75013 Paris, France; Karrai, K., CeNS, Ludwig-Maximilians Universität, Geschwister Scholl Platz 1, 80539 München, Germany, Attocube Systems AG, Königinstrasse11a, D-80539 München, Germany","Resonant optical cavities such as Fabry-Perot resonators or whispering-gallery structures are subject to radiation pressure pushing their reflecting 'walls' apart. Deformable optical cavities yield to this pressure, but in doing so they in turn affect the stored optical energy, resulting in an optical back-action. For such cavities the optics and the mechanics become strongly coupled, making them fascinating systems in which to explore theories of measurements at the quantum limit. Here we provide a summary of the current state of optomechanics of deformable optical cavities, identifying some of the most important recent developments in the field. © 2009 Macmillan Publishers Limited. All rights reserved.",,"Fabry-Perot resonators; Optical cavities; Optical energy; Opto-mechanics; Quantum limit; Radiation pressure; Photonics; Deformation"
"Ritsch H., Domokos P., Brennecke F., Esslinger T.","Cold atoms in cavity-generated dynamical optical potentials",2013,"Reviews of Modern Physics",196,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875975679&doi=10.1103%2fRevModPhys.85.553&partnerID=40&md5=79eb216d60d1fb5b557b79a582e00936","Institut für Theoretische Physik, Universität Innsbruck, Technikerstrasse 25, A-6020 Innsbruck, Austria; Wigner Research Centre for Physics, Hungarian Academy of Sciences, P.O. Box 49, H-1525 Budapest, Hungary; Institute for Quantum Electronics, ETH Zürich, CH-8093 Zürich, Switzerland","Ritsch, H., Institut für Theoretische Physik, Universität Innsbruck, Technikerstrasse 25, A-6020 Innsbruck, Austria; Domokos, P., Wigner Research Centre for Physics, Hungarian Academy of Sciences, P.O. Box 49, H-1525 Budapest, Hungary; Brennecke, F., Institute for Quantum Electronics, ETH Zürich, CH-8093 Zürich, Switzerland; Esslinger, T., Institute for Quantum Electronics, ETH Zürich, CH-8093 Zürich, Switzerland","This is a review of state-of-the-art theory and experiment of the motion of cold and ultracold atoms coupled to the radiation field within a high-finesse optical resonator in the dispersive regime of the atom-field interaction with small internal excitation. The optical dipole force on the atoms together with the backaction of atomic motion onto the light field gives rise to a complex nonlinear coupled dynamics. As the resonator constitutes an open driven and damped system, the dynamics is nonconservative and in general enables cooling and confining the motion of polarizable particles. In addition the emitted cavity field allows for real-time monitoring of the particle's position with minimal perturbation up to subwavelength accuracy. For many-body systems, the resonator field mediates controllable long-range atom-atom interactions, which set the stage for collective phenomena. Besides the correlated motion of distant particles, one finds critical behavior and nonequilibrium phase transitions between states of different atomic order in conjunction with superradiant light scattering. Quantum-degenerate gases inside optical resonators can be used to emulate optomechanics as well as novel quantum phases such as supersolids and spin glasses. Nonequilibrium quantum phase transitions as predicted by, e.g., the Dicke Hamiltonian can be controlled and explored in real time via monitoring the cavity field. In combination with optical lattices, the cavity field can be utilized for nondestructive probing Hubbard physics and tailoring long-range interactions for ultracold quantum systems. © 2013 American Physical Society.",,"Atom-atom interaction; Atom-field interaction; Collective phenomena; Long range interactions; Nonequilibrium phase transitions; Polarizable particles; Quantum phase transitions; Real time monitoring; Atoms; Crystal lattices; Optical resonators; Phase transitions; Quantum electronics; Quantum optics; Hamiltonians"
"Rabl P.","Photon blockade effect in optomechanical systems",2011,"Physical Review Letters",196,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79961200740&doi=10.1103%2fPhysRevLett.107.063601&partnerID=40&md5=bc0037ee7ad0f60564d2052ee84aab3f","Institute for Quantum Optics, Quantum Information of the Austrian Academy of Sciences, 6020 Innsbruck, Austria","Rabl, P., Institute for Quantum Optics, Quantum Information of the Austrian Academy of Sciences, 6020 Innsbruck, Austria","We analyze the photon statistics of a weakly driven optomechanical system and discuss the effect of photon blockade under single-photon strong coupling conditions. We present an intuitive interpretation of this effect in terms of displaced oscillator states and derive analytic expressions for the cavity excitation spectrum and the two-photon correlation function g(2)(0). Our results predict the appearance of nonclassical photon correlations in the combined strong coupling and sideband resolved regime and provide a first detailed understanding of photon-photon interactions in strong coupling optomechanics. © 2011 American Physical Society.",,"Analytic expressions; Blockade effect; Cavity excitation; Opto-mechanics; Optomechanical systems; Photon correlation; Photon statistics; Photon-photon interactions; Strong coupling; Two-photon correlation; Quantum optics; Photons"
"Poot M., van der Zant H.S.J.","Mechanical systems in the quantum regime",2012,"Physics Reports",189,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84856969975&doi=10.1016%2fj.physrep.2011.12.004&partnerID=40&md5=16a67467607ce406fc64b61ad44729fa","Kavli Institute of Nanoscience, Delft University of Technology, P. O. B. 5046, 2600GA Delft, Netherlands; Department of Electrical Engineering, Yale University, New Haven, CT 06520, United States","Poot, M., Kavli Institute of Nanoscience, Delft University of Technology, P. O. B. 5046, 2600GA Delft, Netherlands, Department of Electrical Engineering, Yale University, New Haven, CT 06520, United States; van der Zant, H.S.J., Kavli Institute of Nanoscience, Delft University of Technology, P. O. B. 5046, 2600GA Delft, Netherlands","Mechanical systems are ideal candidates for studying quantum behavior of macroscopic objects. To this end, a mechanical resonator has to be cooled to its ground state and its position has to be measured with great accuracy. Currently, various routes to reach these goals are being explored. In this review, we discuss different techniques for sensitive position detection and we give an overview of the cooling techniques that are being employed. The latter includes sideband cooling and active feedback cooling. The basic concepts that are important when measuring on mechanical systems with high accuracy and/or at very low temperatures, such as thermal and quantum noise, linear response theory, and backaction, are explained. From this, the quantum limit on linear position detection is obtained and the sensitivities that have been achieved in recent opto- and nanoelectromechanical experiments are compared to this limit. The mechanical resonators that are used in the experiments range from meter-sized gravitational wave detectors to nanomechanical systems that can only be read out using mesoscopic devices such as single-electron transistors or superconducting quantum interference devices. A special class of nanomechanical systems is bottom-up fabricated carbon-based devices, which have very high frequencies and yet a large zero-point motion, making them ideal for reaching the quantum regime. The mechanics of some of the different mechanical systems at the nanoscale is studied. We conclude this review with an outlook of how state-of-the-art mechanical resonators can be improved to study quantum mechanics. © 2012 Elsevier B.V.","Active feedback cooling; Macroscopic quantum mechanical effects; Nano-electromechanical systems; NEMS; Optomechanics; QEMS; Quantum-electromechanical systems; Quantum-limited displacement detection; Sideband cooling",
"Nunnenkamp A., Børkje K., Girvin S.M.","Single-photon optomechanics",2011,"Physical Review Letters",181,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79961178518&doi=10.1103%2fPhysRevLett.107.063602&partnerID=40&md5=bbe11f8f0a565520a0147fc2c910d73b","Department of Physics and Applied Physics, Yale University, New Haven, CT 06520, United States","Nunnenkamp, A., Department of Physics and Applied Physics, Yale University, New Haven, CT 06520, United States; Børkje, K., Department of Physics and Applied Physics, Yale University, New Haven, CT 06520, United States; Girvin, S.M., Department of Physics and Applied Physics, Yale University, New Haven, CT 06520, United States","Optomechanics experiments are rapidly approaching the regime where the radiation pressure of a single photon displaces the mechanical oscillator by more than its zero-point uncertainty. We show that in this limit the power spectrum has multiple sidebands and that the cavity response has several resonances in the resolved-sideband limit. Using master-equation simulations, we also study the crossover from the weak-coupling many-photon to the single-photon strong-coupling regime. Finally, we find non-Gaussian steady states of the mechanical oscillator when multiphoton transitions are resonant. Our study provides the tools to detect and take advantage of this novel regime of optomechanics. © 2011 American Physical Society.",,"Mechanical oscillators; Multiphoton transitions; Non-Gaussian; Opto-mechanics; Radiation pressure; Single photons; Steady state; Strong-coupling regime; Weak couplings; Zero-point; Oscillators (mechanical); Particle beams; Photons"
"Aspelmeyer M., Gröblacher S., Hammerer K., Kiesel N.","Quantum optomechanics-throwing a glance [Invited]",2010,"Journal of the Optical Society of America B: Optical Physics",179,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77955701538&doi=10.1364%2fJOSAB.27.00A189&partnerID=40&md5=ef626e6a6cdedadfc6981f1a26c1cbbc","Faculty of Physics, University of Vienna, Boltzmanngasse 5, A-1090 Vienna, Austria; Institute for Quantum Optics and Quantum Information (IQQOI), Austrian Academy of Sciences, Technikerstraße 21a, A-6020 Innsbruck, Austria; Institute for Theoretical Physics, University of Innsbruck, Technikerstraße 25, A-6020 Innsbruck, Austria","Aspelmeyer, M., Faculty of Physics, University of Vienna, Boltzmanngasse 5, A-1090 Vienna, Austria; Gröblacher, S., Faculty of Physics, University of Vienna, Boltzmanngasse 5, A-1090 Vienna, Austria; Hammerer, K., Institute for Quantum Optics and Quantum Information (IQQOI), Austrian Academy of Sciences, Technikerstraße 21a, A-6020 Innsbruck, Austria, Institute for Theoretical Physics, University of Innsbruck, Technikerstraße 25, A-6020 Innsbruck, Austria; Kiesel, N., Faculty of Physics, University of Vienna, Boltzmanngasse 5, A-1090 Vienna, Austria","Mechanical resonators are gradually becoming available as new quantum systems. Quantum optics in combination with optomechanical interactions (quantum optomechanics) provides a particularly helpful toolbox for generating and controlling mechanical quantum states. We highlight some of the current challenges in the field by discussing two of our recent experiments. © 2010 Optical Society of America.",,"Quantum electronics; Mechanical resonators; Opto-mechanics; Optomechanical; Quantum state; Quantum system; Quantum optics"
"Notomi M.","Manipulating light with strongly modulated photonic crystals",2010,"Reports on Progress in Physics",177,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77957705771&doi=10.1088%2f0034-4885%2f73%2f9%2f096501&partnerID=40&md5=d03dbe9de1b4fcb9a0f2fafe82849d66","NTT Basic Research Laboratories, Nippon Telegraph and Telephone Corporation, 3-1 Morinosato-Wakamiya, Atsugi 243-0198, Japan","Notomi, M., NTT Basic Research Laboratories, Nippon Telegraph and Telephone Corporation, 3-1 Morinosato-Wakamiya, Atsugi 243-0198, Japan","Recently, strongly modulated photonic crystals, fabricated by the state-of-the-art semiconductor nanofabrication process, have realized various novel optical properties. This paper describes the way in which they differ from other optical media, and clarifies what they can do. In particular, three important issues are considered: light confinement, frequency dispersion and spatial dispersion. First, I describe the latest status and impact of ultra-strong light confinement in a wavelength-cubic volume achieved in photonic crystals. Second, the extreme reduction in the speed of light is reported, which was achieved as a result of frequency dispersion management. Third, strange negative refraction in photonic crystals is introduced, which results from their unique spatial dispersion, and it is clarified how this leads to perfect imaging. The last two sections are devoted to applications of these novel properties. First, I report the fact that strong light confinement and huge light-matter interaction enhancement make strongly modulated photonic crystals promising for on-chip all-optical processing, and present several examples including all-optical switches/memories and optical logics. As a second application, it is shown that the strong light confinement and slow light in strongly modulated photonic crystals enable the adiabatic tuning of light, which leads to various novel ways of controlling light, such as adiabatic frequency conversion, efficient optomechanics systems, photon memories and photons pinning. © 2010 IOP Publishing Ltd.",,
"Li M., Pernice W.H.P., Tang H.X.","Tunable bipolar optical interactions between guided lightwaves",2009,"Nature Photonics",177,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-68749090777&doi=10.1038%2fnphoton.2009.116&partnerID=40&md5=11406381185728103826ac95ebaaa52c","Department of Electrical Engineering, Yale University, New Haven, CT 06511, United States","Li, M., Department of Electrical Engineering, Yale University, New Haven, CT 06511, United States; Pernice, W.H.P., Department of Electrical Engineering, Yale University, New Haven, CT 06511, United States; Tang, H.X., Department of Electrical Engineering, Yale University, New Haven, CT 06511, United States","State-of-the-art advances in nanoscale optomechanics allow light to be guided in free-standing waveguides or resonators. In closely spaced devices, the coupling between the guided lightwaves gives rise to an optical force known as the optical bonding force. Indeed, attractive optical force has been observed in substrate coupled devices. According to recent theoretical predictions, the optical force should show bipolar behaviour depending on the relative phase between in-plane coupled lightwaves. So far, such an in-plane optical force has not been measured. Here, we experimentally demonstrate a bipolar optical force between planarly coupled nanophotonic waveguides. Both attractive and repulsive optical forces are obtained. The sign of the force can be switched reversibly by tuning the relative phase of the interacting lightwaves. This highly engineerable force of bipolar nature could be used as the operation principle for a new class of planar light force devices and circuits on a CMOS-compatible platform. © 2009 Macmillan Publishers Limited.",,"CMOS Compatible; Coupled devices; Nanophotonic waveguides; Optical bondings; Optical force; Optical interactions; Opto-mechanics; Relative phase; Photonics; Waveguides"
"Bassi A., Lochan K., Satin S., Singh T.P., Ulbricht H.","Models of wave-function collapse, underlying theories, and experimental tests",2013,"Reviews of Modern Physics",168,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875997346&doi=10.1103%2fRevModPhys.85.471&partnerID=40&md5=13f3dcc3c6513c7dd381e345eec98e16","Department of Physics, University of Trieste, Strada Costiera 11, 34151 Trieste, Italy; Istituto Nazionale di Fisica Nucleare, Trieste Section, Via Valerio 2, 34127 Trieste, Italy; Tata Institute of Fundamental Research, Homi Bhabha Road, Mumbai 400005, India; Institute of Mathematical Sciences, CIT Campus, IV Cross Road, Taramani, Chennai 600 113, India; School of Physics and Astronomy, University of Southampton, Southampton SO17 1BJ, United Kingdom","Bassi, A., Department of Physics, University of Trieste, Strada Costiera 11, 34151 Trieste, Italy, Istituto Nazionale di Fisica Nucleare, Trieste Section, Via Valerio 2, 34127 Trieste, Italy; Lochan, K., Tata Institute of Fundamental Research, Homi Bhabha Road, Mumbai 400005, India; Satin, S., Institute of Mathematical Sciences, CIT Campus, IV Cross Road, Taramani, Chennai 600 113, India; Singh, T.P., Tata Institute of Fundamental Research, Homi Bhabha Road, Mumbai 400005, India; Ulbricht, H., School of Physics and Astronomy, University of Southampton, Southampton SO17 1BJ, United Kingdom","Quantum mechanics is an extremely successful theory that agrees with every experimental test. However, the principle of linear superposition, a central tenet of the theory, apparently contradicts a commonplace observation: macroscopic objects are never found in a linear superposition of position states. Moreover, the theory does not explain why during a quantum measurement, deterministic evolution is replaced by probabilistic evolution, whose random outcomes obey the Born probability rule. In this article a review is given of an experimentally falsifiable phenomenological proposal, known as continuous spontaneous collapse: a stochastic nonlinear modification of the Schrödinger equation, which resolves these problems, while giving the same experimental results as quantum theory in the microscopic regime. Two underlying theories for this phenomenology are reviewed: trace dynamics and gravity-induced collapse. As the macroscopic scale is approached, predictions of this proposal begin to differ appreciably from those of quantum theory and are being confronted by ongoing laboratory experiments that include molecular interferometry and optomechanics. These experiments, which test the validity of linear superposition for large systems, are reviewed here, and their technical challenges, current results, and future prospects summarized. It is likely that over the next two decades or so, these experiments can verify or rule out the proposed stochastic modification of quantum theory. © 2013 American Physical Society.",,"Experimental test; Laboratory experiments; Linear superpositions; Macroscopic objects; Probability rules; Quantum measurement; Stochastic modifications; Technical challenges; Experiments; Nonlinear equations; Stochastic systems; Quantum theory"
"Quan Q., Loncar M.","Deterministic design of wavelength scale, ultra-high Q photonic crystal nanobeam cavities",2011,"Optics Express",168,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-80052778114&doi=10.1364%2fOE.19.018529&partnerID=40&md5=ad0fde02a192fb81aa740b3246704062","School of Engineering and Applied Sciences, Harvard University, Cambridge, MA 02138, United States","Quan, Q., School of Engineering and Applied Sciences, Harvard University, Cambridge, MA 02138, United States; Loncar, M., School of Engineering and Applied Sciences, Harvard University, Cambridge, MA 02138, United States","Photonic crystal nanobeam cavities are versatile platforms of interest for optical communications, optomechanics, optofluidics, cavity QED, etc. In a previous work [Appl. Phys. Lett. 96, 203102 (2010)], we proposed a deterministic method to achieve ultrahigh Q cavities. This follow-up work provides systematic analysis and verifications of the deterministic design recipe and further extends the discussion to air-mode cavities. We demonstrate designs of dielectric-mode and air-mode cavities with Q &gt; 109, as well as dielectric-mode nanobeam cavities with both ultrahigh-Q (&gt; 107) and ultrahigh on-resonance transmissions (T &gt; 95%). © 2011 Optical Society of America.",,"Design; Optical communication; Photonic crystals; Cavity QED; Deterministic design; Deterministic methods; Opto-fluidics; Opto-mechanics; Systematic analysis; Ultra-high; Ultrahigh-q; Wavelength scale; Nanowires"
